,Object_Description,Program_Description,SubFund_Description,Job_Title_Description,Facility_or_Department,Sub_Object_Description,Location_Description,FTE,Function_Description,Position_Extra,Text_4,Total,Text_2,Text_3,Fund_Description,Text_1
50669,EMPLOYEE BENEFITS,INSTRUCTIONAL STAFF TRAINING,FEDERAL GDPG FUND - FY ,"Teacher, Short Term Sub ",,,HIGH SCHOOL EDUCATION,,FUND FOR THE IMPROVEMENT OF ED,PROFESSIONAL-INSTRUCTIONAL,,1.7799999999999998,HUMANITIES,n/a,,INSTRUCTIONAL STAFF
166535,Misc Operating Expenses,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,5999.78,,,General Fund,
256702,Personal Services - Teachers,Support - TAP,,TEACHER TAPS MENTOR,,,,0.0,,TAP ADDITIONAL  DAYS ,Teacher Advancement Program (TAP),4627.03,,,ITEMFA Schools Partnership,TEACHER ADVANCEMENT PROGRAM
73833,SALARIES OF REGULAR EMPLOYEES,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Elementary ",,,,0.07809918439069999,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,,3407.20160526,,Regular,,REGULAR INSTRUCTION
4274,Miscellaneous Contracted Srvcs,Bilingual Education,,,,Dual Language,Bilingual / ESL,,Instructional Leadership,,,0.47,,,"Title III, Part A-LEP, English Language Acquisition & Language Enhancement",
38735,General Supplies,Basic Educational Services,,,,Physical Education,School ,,Instruction,,,999.5,,,General Fund,
280716,Extra Duty/Signing Bonus Pay,Athletics and Related,,"HC, VOLLEYBALL",,General,School ,,Cocurricular & Extra Curricular Activities,,,2075.82505707,,,Athletics,
50305,Employee Travel  (including In-District and Out-of-District),Undistributed,,,,General,Science/Health Res Ctr,,Instructional Resource & Media Services,,,199.98,,,General Fund,
344994,Salaries for Support Personnel,Special Education,,BUS MONITOR,,General,Transportation Office,0.9276,Student Transportation,,,22880.919330400004,,,General Fund,
321564,SALARIES OF PART TIME EMPLOYEE,INSTRUCTIONAL STAFF TRAINING,GENERAL FUND,"Teacher, Super Sub D/D ",,,,0.004310344827590001,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,,165.386698367,,Regular,,INSTRUCTIONAL STAFF
220619,,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,,,,General Fund,
9499,Salaries for Support Personnel,Undistributed,,BUS DRIVER,,General,Transportation Office,0.885,Student Transportation,,,25585.4949264,,,General Fund,
90934,EXTRA DUTY PAY-INSTRUCTIONAL  ,,,"TEACHER, THIRD                ",WRITING TEAMS                 ,,School ,,INST & CURRICULUM DEV SVCS    ,,,85.42999999999998,,,FED THRU STATE-CASH ADVANCE   ,TITLE I                       
179781,Regular *,,Operation and Maintenance of Plant Services,AV/ARCHIVIST,,,COMMUNITY RELATIONS DIVISION,0.53,Care and Upkeep of Building Services,,,24460.7269291,ADM/PROF,,General,FACILITIES ADMINISTRATION
187525,Salaries for Support Personnel,Undistributed,,FOOD PROD SP I,,General,School ,0.5,Food Services,,,12037.6705978,,,Nat'l Schl Breakfast & Lunch Prog.,
370934,Professional Salaries,Basic Educational Services,, SCI- GEN',,General,School ,1.0,Instruction,,,53190.2735743,,,General Fund,
12526,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Secondary (High) ",,,,,NON-PROJECT,UNDESIGNATED,,-344.3,,n/a,,EMPLOYEE BENEFITS
369240,General Supplies,Special Education,,,,Special Education,School ,,Instruction,,,1204.94,,,General Fund,
136556,Salaries for Support Personnel,Undistributed,,SR. POLICE OFCR,,General,District Police,1.0,Security & Monitoring Servicess,,,60519.2304757,,,Campus Police,
91763,Employee Allowance,Undistributed,,CELL PHONE,,Mobile Phone,Office of Planning and Community Relations,,General Administration,,,523.9708565230001,,,General Fund,
179524,Food ,Undistributed,,,,General,School ,,Food Services,,,133171.96,,,Nat'l Schl Breakfast & Lunch Prog.,
250918,Professional Salaries,Undistributed,,ELEM PRINCIPAL,,General,School ,1.0,School Leadership,,,113790.690939,,,General Fund,
118351,Employee Travel  (including In-District and Out-of-District),Undistributed,,,,Line Item that is paid with Campus' money,School ,,School Leadership,,,1999.61,,,General Fund,
124680,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Elementary ",,,,,ELA E-TEACHING SHELTERED ENG,PROFESSIONAL-INSTRUCTIONAL,,108.69,,Regular,,REGULAR INSTRUCTION
101017,Classroom Supplies,,Special Instruction,,,General Supplies *,,,Disadvantaged Youth *,,,-7697.59,,,Title I - Disadvantaged Children/Targeted Assistance,TITLE I PUBLIC ALLOCATION
90553,Professional Salaries,Bilingual Education,,T-EL KIN BIL,,General,School ,1.0,Instruction,,,52965.66890400001,,,General Fund,
277075,Extra Duty/Signing Bonus Pay,Undistributed,,TRANSITION FAC,,General,School ,,Cocurricular & Extra Curricular Activities,,,2502.90067145,,,General Fund,
36302,Professional Salaries,Basic Educational Services,, AD SOC SC,,General,School ,0.5,Instruction,,,30139.6726105,,,General Fund,
413437,Professional Salaries,Career and Technology,,T-HS/V TECH ED,,General,School ,1.0,Instruction,,,52514.91619890001,,,General Fund,
329243,Extra Duty/Signing Bonus Pay,Undistributed,,JR HONOR SOC,,General,School ,,Cocurricular & Extra Curricular Activities,,,800.080306198,,,General Fund,
215918,Professional Salaries,,,,,,School ,0.5,,,,27847.227371900004,,,General Fund,
300334,,Misc,,Food Service Worker - Regular,,,,0.73,,FOOD SERVICE WORKER,,19548.4,,,School Nutrition Service Fund,
129362,Personal Services - Education Assistants,Instruction - SPED,,,,,,0.0,,SUBSTITUTE TEACHER,Special Education Instruction,28.11,,,General Purpose School,
394011,Salaries And Wages For Teachers And Other Professi,Accelerated Education,Training And Recruiting,SKILLS SPECIALIST,Instruction And Curriculum,Extra Duty Wages,School ,,Curriculum Development And Instructional Staff Dev,TEACHER MASTER,,1040.0952633999998,,,Esea Title Ii Part A Teacher & Principal Training,MISCELLANEOUS 
142212,Professional Salaries,Basic Educational Services,,T-EL P.E.,,General,School ,0.67,Instruction,,,39481.610696,,,General Fund,
230769,Professional Salaries,Basic Educational Services,,T-HS ORCHESTRA,,Orchestra,School ,0.5,Instruction,,,26256.9480995,,,General Fund,
265569,Employee Allowance,Undistributed,,TRAVEL,,General,Food Service,,Food Services,,,2310.08,,,Nat'l Schl Breakfast & Lunch Prog.,
352495,Extra Duty/Signing Bonus Pay,Undistributed,,UIL COORDINATOR,,General,School ,,Cocurricular & Extra Curricular Activities,,,441.06463579,,,General Fund,
161685,Career Ladder,Accelerated Education,,CL ,,General,School ,,Instruction,,,3277.84535327,,,General Fund,
27387,Salaries for Support Personnel,Undistributed,,CUSTODIAN I,,General,School ,1.0,Plant Maintenance & Operations,,,33455.6760885,,,General Fund,
174862,ADDITIONAL/EXTRA DUTY PAY/STIP,INSTRUCTIONAL STAFF TRAINING,FEDERAL GDPG FUND - FY ,"Teacher, Elementary ",,,MATH / SCIENCE,,TITLE II-PART A-TEACHER QUALIT,PROFESSIONAL-INSTRUCTIONAL,,290.04072,MATH/SCIENCE,n/a,,INSTRUCTIONAL STAFF
267561,Professional Salaries,Bilingual Education,,T-EL 2ND ESL,,General,School ,1.0,Instruction,,,53775.20768359999,,,General Fund,
395281,General Supplies,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,20519.68,,,General Fund,
122361,,,"SUMMER ED, ARTS & SPORTS - SEAS",Teacher (Afterschool),,,OFFICE OF COMMUNITY & EDUCATION PROGRAMS,0.025,,,,2306.64794307,AFTERSCHOOL PROGRAMS,,,
257255,Misc Operating Expenses,Nondisciplinary AEP-Basic Services,,,,General,Independence,,Instruction,,,500.13,,,General Fund,
188564,Employee Allowance,Special Education,,TRAVEL,,Speech Therapist,School ,,Instruction,,,432.80770663199996,,,General Fund,
364542,Extra Duty/Signing Bonus Pay,Disciplinary AEP-Basic Services,,,,General,Secondary Alternative Learning Center,,Instruction,,,26966.8094652,,,General Fund,
76453,Professional Salaries,Bilingual Education,,T-EL 5TH ESL,,General,School ,1.0,Instruction,,,54202.4293412,,,General Fund,
101717,Food ,Undistributed,,,,General,School ,,Food Services,,,69445.92,,,Nat'l Schl Breakfast & Lunch Prog.,
316637,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher,Retrd Shrt Term Sub ",,,,,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,,55.8,TEACHER SUBS,Regular,,REGULAR INSTRUCTION
118232,Regular *,,Regular Instruction,"TCHR, K-8 MUSIC VOCAL",,Certificated Employees Salaries And Wages,EN OTH CERTIFICATED PERSON,0.5,Elementary,,,51077.355643,TEACHER,,General,SCHOOL BASED MANAGEMENT
270424,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Elementary ",,,,,SPECIAL PROGRAM FUNDING,PROFESSIONAL-INSTRUCTIONAL,,436.39,,Regular,,REGULAR INSTRUCTION
82391,EMPLOYEE BENEFITS,GENERAL MIDDLE/JUNIOR HIGH SCH,GENERAL FUND,"Teacher, Short Term Sub ",,,,,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,,0.33,,Regular,,REGULAR INSTRUCTION
334654,BOOKS AND PERIODICALS,GENERAL ELEMENTARY EDUCATION,DISTRICT SPECIAL REVENUE FUNDS,(blank),,,,,A TO Z GRANT ,UNDESIGNATED,,1122.24,,Regular,,REGULAR INSTRUCTION
367662,Career Ladder,Basic Educational Services,,,,General,School ,,Instruction,,,1638.9976766399998,,,General Fund,
204924,Substitute Teachers,Undistributed,,,,General,Second Languages/Journalism,,Instruction,,,6516.51606076,,,General Fund,
354738,Periodicals,,Support Services - Instructional Staff,,,"Newspapers, Periodicals, Films And Filmstrips *",,,School Library Services *,,,-0.12,,,General,SCHOOL BASED MANAGEMENT
348026,Salaries And Wages For Teachers And Other Professi,Athletics And Related Activities,Operations,"TEACHER, REGULAR",All Campus Payroll,Extra Duty Wages,School ,,Extracurricular Activities,TEACHER BACHELOR,,7000.61,,,General Operating Fund,EX-CURR ATHLETIC
181061,,,,,,,,,,,,4115.92,,,,
256478,Employee Allowance,Undistributed,,TRAVEL,,General,School ,,School Leadership,,,1034.56269163,,,General Fund,
129696,General Supplies,Athletics and Related,,,,Girls Track,School ,,Cocurricular & Extra Curricular Activities,,,2999.78,,,Athletics,
186405,Miscellaneous Contracted Srvcs,Undistributed,,,,Police Dept Courier Srvc,School ,,Food Services,,,1706.03,,,Nat'l Schl Breakfast & Lunch Prog.,
428230,Salaries for Support Personnel,Nondisciplinary AEP-Basic Services,,DATA PROC ASTII,,General,Independence,1.0,School Leadership,,,54296.85941440001,,,General Fund,
210554,Salaries And Wages For Substitute Professionals,Career And Technology,Operations,TEACHER SUBSTITUTE POOL,All Campus Payroll,Salaries And Wages For Substitute Teachers,School ,,Instruction,DEGREED SUBSTITUTE,,1036.98784722,,,General Operating Fund,REGULAR PAY
343357,Employee Allowance,Undistributed,,TRAVEL,,General,School ,,School Leadership,,,603.174985002,,,General Fund,
101288,Professional Salaries,Bilingual Education,,T-EL 1ST BIL,,General,School ,1.0,Instruction,,,54877.36008119999,,,General Fund,
36244,Salaries And Wages For Teachers And Other Professi,Basic Educational Services,Student Success Initiative Grant,"TEACHER, REGULAR",Instruction And Curriculum,Extended Day,School ,,Instruction,TEACHER MASTER,Basic Educational Services - District Objective ,59.2722891165,,,Intensive Reading Instruction Initiative Grant,EXTENDED DAYS
290051,EMPLOYEE BENEFITS,INSTRUCTIONAL STAFF TRAINING,GENERAL FUND,"Secretary, Executive II ",,,TEACHER LEARNING & LEADERSHIP,,NON-PROJECT,OFFICE/ADMINISTRATIVE SUPPORT,,1.6,TEACHER LEARNING & LEADERSHIP,n/a,,INSTRUCTIONAL STAFF
209121,Career Ladder,Basic Educational Services,,,,General,School ,,Instruction,,,1638.1876766399996,,,General Fund,
335341,SALARIES OF PART TIME EMPLOYEE,SUPPORT SERVICES-SCHOOL ADMIN,GENERAL FUND,"Principal, Asst Hrly ",,,,0.396551724138,NON-PROJECT,ADMINISTRATOR,,51263.2603934,,Regular,,SCHOOL ADMINISTRATION
439877,Employee Travel  (including In-District and Out-of-District),Undistributed,,,,General,Science and Health,,Curriculum & Instructional Staff Development,,,1431.96,,,General Fund,
28422,Extra Duty/Signing Bonus Pay,Special Education,,,,General,School ,,Instruction,,,10659.6892457,,,General Fund,
188244,Professional Salaries,Undistributed,,SR SCHOOL LAW,,General,Legal Services,1.0,General Administration,,,126835.50632100001,,,General Fund,
275149,General Supplies,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,16970.44,,,General Fund,
82526,Extra Duty Pay/Overtime For Support Personnel,Undistributed,Operations,"TRANSPORTATION, AIDE,SPEC.ED",Transportation Department,Extra Duty Pay/Overtime For Support Personnel,Unallocated,,Transportation,BUS DRIVER AIDE,transportation - Second Runs,995.42,,,General Operating Fund,EXTRA RUN
107223,General Supplies,Career and Technology,,,,Construction/Bldg Maint,School ,,Instruction,,,4200.48,,,General Fund,
195706,Miscellaneous Contracted Srvcs,Undistributed,,,,Laundry,School ,,Food Services,,,1315.6,,,Nat'l Schl Breakfast & Lunch Prog.,
168607,ADDITIONAL/EXTRA DUTY PAY/STIP,EARLY CHILDHOOD,FEDERAL GDPG FUND - FY ,"Teacher, Elementary ",,,EARLY CHILDHOOD EDUCATION,,EARLY READING FIRST,PROFESSIONAL-INSTRUCTIONAL,,5481.78024,EARLY EDUCATION,n/a,,REGULAR INSTRUCTION
114843,Professional Salaries,Undistributed,,COUNS- HS,,General,School ,1.0,"Guidance, Counseling and Evaluation Services",,,73251.4266022,,,General Fund,
23543,Professional Salaries,Accelerated Education,,T-HS AVID,,AVID supplement,School ,1.0,Instruction,,,52627.3689961,,,General Fund,
279489,Employee Allowance,Undistributed,,TRAVEL,,General,Human Resources,,General Administration,,,1035.28269163,,,General Fund,
242080,Salaries for Support Personnel,Undistributed,,CUSTODIAN I,,General,School ,1.0,Plant Maintenance & Operations,,,29804.9568908,,,General Fund,
3461,OTHER CERTIFIED               ,,,"TEACHER, TITLE I-ELEM         ",,,School ,0.0340485418712,EXCEPTIONAL                   ,,,2032.72355382,,,FED THRU STATE-CASH ADVANCE   ,IDEA  PART B                  
401994,Reading Materials including Library Books,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,-0.23,,,General Fund,
306389,Extra Duty/Overtime,Undistributed,,,,General,School ,,School Leadership,,,0.17,,,General Fund,
109401,Extra Duty/Signing Bonus Pay,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,8968.235,,,Title I- Part A,
284936,Salaries for Support Personnel,Prekindergarten,,TCHR ASST,,General,Prekindergarten Demonstration School,1.0,Instruction,,,30583.0063357,,,,
444391,Reproduction Services,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,199.68,,,General Fund,
95850,Salaries And Wages For Teachers And Other Professi,Undistributed,Operations,"TEACHER, REGULAR",Performing Arts Department,Extra Duty Wages,Unallocated,,Extracurricular Activities,TEACHER BACHELOR,Undistributed,149.50251238899997,,,General Operating Fund,EXTENDED DAYS
400200,Extra Duty Pay/Overtime For Support Personnel,"""Title I, Part A Schoolwide Activities Related To State Comp",Operations,"TRANSPORTATION,BUS DR. SPEC.ED",Transportation Department,Extra Duty Pay/Overtime For Support Personnel,Unallocated,,Transportation,BUS DRIVER,,2039.03,,,General Operating Fund,ADDL REGULAR PAY-NOT SMOOTHED
316602,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,Teacher Secondary (Middle) ,,,,,NON-PROJECT,UNDESIGNATED,,-21.94,,n/a,,EMPLOYEE BENEFITS
21041,ELECTRONIC MEDIA MATERIALS,INFORMATION SYSTEMS SERVICES,GENERAL FUND,(blank),,,ENTERPRISE PRODUCT MANAGEMENT,,NON-PROJECT,UNDESIGNATED,,992.28,ITEMGG-PRODUCT MANAGEMENT,n/a,,CENTRAL
309832,General Supplies,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,2999.62,,,Title I- Part A,
400702,Employee Allowance,Accelerated Education,,CELL PHONE,,Mobile Phone,Educational Support Services,,Social Work Services,,,393.700642393,,,General Fund,
53462,Employee Travel  (including In-District and Out-of-District),Accelerated Education,,,,Cycle  (used for grants),School ,,Community Services,,,700.28,,, Century Community Learning,
301955,Salaries for Support Personnel,Undistributed,,BUS DRIVER,,General,Transportation Office,1.0,Student Transportation,,,34838.2579773,,,General Fund,
159949,Extra Duty/Overtime,Undistributed,,,,General,School ,,Plant Maintenance & Operations,,,3103.44081955,,,General Fund,
364226,Professional Salaries,Bilingual Education,,BIL INST/CURR S,,Bilingual & Spec Lang,School ,1.0,Instruction,,,69054.9548911,,,General Fund,
180605,Professional Salaries,Basic Educational Services,,T-EL MUSIC,,Choral Music,School ,1.0,Instruction,,,52514.63619890001,,,General Fund,
116792,SALARIES OF PART TIME EMPLOYEE,INSTRUCTIONAL STAFF TRAINING,ARRA - STIMULUS,"Teacher,Retrd Shrt Term Sub ",,,,0.010775862069,TITLE I A - ARRA,PROFESSIONAL-INSTRUCTIONAL,,321.717462313,TEACHER LEARNING & LEADERSHIP,Regular,,INSTRUCTIONAL STAFF
317357,SALARIES OF REGULAR EMPLOYEES,GUIDANCE SERVICES,GENERAL FUND,"School Counselor, High Sch ",,,,,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,,3822.066960000001,,Regular,,STUDENTS
427740,Salaries for Support Personnel,Undistributed,,CLERK III- SCH,,General,School ,1.0,School Leadership,,,29492.834215499995,,,General Fund,
174603,Personal Services - Education Assistants,Instruction - SPED,,,,,,0.0,,SUBSTITUTE TEACHER,Special Education Instruction,56.27,,,General Purpose School,
86244,EMPLOYER PD MED CONTRIBUTION,CARE & UPKEEP OF BLDG SERVICES,GENERAL FUND,Custodian Asst II ,,,ALL SCHOOLS-UNDISTRIBUTED,,NON-PROJECT,"CRAFTS, TRADES, AND SERVICES",,461.51,,n/a,,OPERATION AND MAINT OF PLANT
159832,Personal Services - Substitute Teachers Certified,Instruction - Regular,,,SUBSTITUTE TEACHER,,,0.0,,SUBSTITUTE TEACHER,Regular Instruction,70.67,,,General Purpose School,
333142,,Accelerated Education,,,,AYP-Secondary,Educator Quality ,,Curriculum & Instructional Staff Development,,,3609.57,,,General Fund,
224686,Professional Salaries,Undistributed,,MS ASST PRIN,,General,School ,0.5,School Leadership,,,35907.2300179,,,General Fund,
299018,Supplies and Materials,,Regular Instruction,,,Supplies And Materials,,,Elementary,,,841.8399999999998,,,Title I - Disadvantaged Children/Targeted Assistance,TITLE I SCHOOLWIDE
165156,Miscellaneous Contracted Srvcs,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,19999.78,,,Title I- Part A,
74424,RETIREMENT CONTRIB.,EMPLOYEE BENEFITS,GENERAL FUND,Secretary - Part-Time ,,,SECONDARY PATHWAYS,,EMPLOYEE RETIREMENT,UNDESIGNATED,,168.67000000000004,,n/a,,EMPLOYEE BENEFITS
115432,SALARIES OF PART TIME EMPLOYEE,FOOD PREPARATION/SERVING,FOOD SERVICE FUND,Food Service Worker I ,,,FOOD AND NUTRITION SERVICES,0.005790852162800001,NON-PROJECT,"CRAFTS, TRADES, AND SERVICES",,94.20274430629999,FOOD SERVICES,n/a,,FOOD SERVICES OPERATIONS
82432,OTHER PERSONAL SERVICES       ,,,SUBSTITUTE BUS ASSISTANT      ,,,TRANSPORTATION                ,0.0,PUPIL TRANSPORTATION SERVICES ,,,2312.3015,,,GENERAL FUND                  ,
379248,Employee Travel  (including In-District and Out-of-District),Undistributed,,,,Line Item that is paid with Campus' money,School ,,Curriculum & Instructional Staff Development,,,-0.48,,,General Fund,
184666,TRAVEL - EMPLOYEES,"REGULAR, TITLE I",TITLE I-A NCLB - DISADVANTAGED CHILDREN,,,,ADMIN. SERVICES,,IMPROVEMENT OF INSTR SERV,,,181.1,,,Title I,
198051,Professional Salaries,Basic Educational Services,,T-EL 1ST BIL,,General,School ,1.0,Instruction,,,53189.8735743,,,General Fund,
127910,Professional Salaries,Basic Educational Services,, AD SOC SC,,General,School ,0.67,Instruction,,,35637.269596399994,,,General Fund,
164605,Extra Duty/Signing Bonus Pay,Undistributed,,HS STUDENT COUN,,General,School ,,Cocurricular & Extra Curricular Activities,,,3446.80021319,,,General Fund,
146671,Salaries And Wages For Teachers And Other Professi,Basic Educational Services,Student Success Initiative Grant,"TEACHER, REGULAR",Instruction And Curriculum,Extended Week,School ,,Instruction,TEACHER BACHELOR,Basic Educational Services - District Objective ,104.021293215,,,Intensive Reading Instruction Initiative Grant,EXTENDED DAYS
