,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
398381,Physical Health & Services,Pupil Services & Enrichment,School Reported,School,Special Education,Other,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,State Deaf Education,"SPECIAL ED, AUDIOLOGIST",,,Extra Duty Wages,School ,,Community Services,Instruction And Curriculum,AUDIOLOGIST,273.855536026,Services To Students With Disabilities (Special Education),State Deaf Education,MISCELLANEOUS 
398474,Facilities & Maintenance,O&M,Shared Services,Non-School,Unspecified,Custodian,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,CUSTODIAL-SCHOOLS,GENERAL FUND,Custodian Asst II ,n/a,,,ALL SCHOOLS-UNDISTRIBUTED,,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",772.4,CARE & UPKEEP OF BLDG SERVICES,,OPERATION AND MAINT OF PLANT
398568,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Non-Position,Other Non-Compensation,NO_LABEL,PreK-12 Operating,TRANSPORTATION/FIELD TRIPS,,GENERAL FUND,(blank),Regular,,,,,NON-PROJECT,,UNDESIGNATED,880.27,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
398592,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Elementary ",Regular,,,,,READ TO SUCCEED,,PROFESSIONAL-INSTRUCTIONAL,1171.26,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
398771,Special Population Program Management & Support,ISPD,School Reported,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,Program Specialist ,Alternative,,,,0.999972889728,NON-PROJECT,,PROFESSIONAL-OTHER,80557.6829628,OTHER GENERAL EDUCATION,,OTHER EDUCATION
399887,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,Teacher Secondary (Middle) ,Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,2701.04064,GENERAL MIDDLE/JUNIOR HIGH SCH,,REGULAR INSTRUCTION
399894,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,GENERAL SUPPLIES,EXT DAY TUITION PAID KINDERGAR,DISTRICT SPECIAL REVENUE FUNDS,(blank),Regular,,,,,EXT DAY TUITION PAID KINDERGAR,,UNDESIGNATED,4.77,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
399942,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,CONTRA BENEFITS,,GENERAL FUND,"Supervisor, Area ",n/a,,,COMMUNITY EDUCATION,,NON-PROJECT,,UNDESIGNATED,-900.4,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
400261,Other Compensation,Instruction,School Reported,School,Special Education,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,OTHER PERSONAL SERVICES       ,,,CLERICAL/TCHR ASST SUB        ,,,,School ,0.0,EXCEPTIONAL                   ,,,339.5300000000001,,GENERAL FUND                  ,
400624,School Administration,Leadership,School Reported,School,Unspecified,Principal,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,,GENERAL FUND,"Principal, Elementary ",Regular,,,,,NON-PROJECT,,ADMINISTRATOR,503.86,SUPPORT SERVICES-SCHOOL ADMIN,,SCHOOL ADMINISTRATION
401833,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Salaries And Wages For Teachers And Other Professi,,"""Title  Part A Improving Basic Programs""","TEACHER, REGULAR",,,Extended Year,Summer School,,Instruction,Instruction And Curriculum,TEACHER BACHELOR,1537.74864733,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",EXTENDED YEAR
401939,Professional Development,ISPD,Leadership & Management,Non-School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES                      ,,,,,,,CURRICULUM AND INSTR          ,,INST & CURRICULUM DEV SVCS    ,,,342.19,,FEDERAL DIRECT                ,INHERITING A LEGACY OF FREEDOM
401974,Insurance,Business Services,Leadership & Management,Non-School,Unspecified,Non-Position,Other Non-Compensation,Non PreK,PreK-12 Operating,Fire and Extended Coverage Insurance,,Fiscal Services,,,,Insurance *,,,Other Fiscal Services,,,599763.44,,General,RISK MANAGEMENT
402455,Untracked Budget Set-Aside,Untracked Budget Set-Aside,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,WORKERS' COMPENSATION         ,,,SUB TEACHER ALL               ,,,,School ,0.0,INST STAFF TRAINING SVCS      ,,,0.34,FDLRS                         ,GENERAL FUND                  ,NATIONAL LITERACY PROJECT     
402684,Student Assignment,Leadership,Leadership & Management,Non-School,Unspecified,Non-Position,Rent/Utilities,Non PreK,PreK-12 Operating,Postage,,Support Services - Central,,,,Communications *,,,Statistical Services *,,,15365.04,,General,STUDENT ASSIGNMENTS
403903,Physical Health & Services,Pupil Services & Enrichment,School Reported,School,Special Education,Occupational Therapist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,OTHER CERTIFIED               ,,,OCCUPATIONAL THERAPIST        ,,,,School ,0.97524562355,EXCEPTIONAL                   ,,,84810.3535613,,GENERAL FUND                  ,
404090,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Teacher, Secondary (High) ",n/a,,,,,NON-PROJECT,,UNDESIGNATED,-525.65,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
404133,Food Services,O&M,School Reported,School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,FOOD SERVICES,FOOD SERVICE FUND,Food Service Worker II ,Regular,,,,,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",143.52,FOOD PREPARATION/SERVING,,FOOD SERVICES OPERATIONS
404462,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SOFTWARE SUBSCRIPTIONS        ,,,,,,,CHIEF OF ADMINISTRATION       ,,INSTRUCTION RELATED TECHNOLOGY,,,3536.71,,GENERAL FUND                  ,COMPUTER MAINT CONTRACT       
404669,Governance,Leadership,Leadership & Management,Non-School,Unspecified,(Exec) Director,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,Chief Human Resources Offr ,n/a,,,HUMAN RESOURCES,,EMPLOYEE RETIREMENT,,UNDESIGNATED,1521.62,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
404967,Food Services,O&M,School Reported,School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,Food Service Worker II ,n/a,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,147.76999999999995,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
405026,Parent & Community Relations,Pupil Services & Enrichment,School Reported,School,Unspecified,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,,GENERAL FUND,SFPC Liaison Specialist ,Turnaround,,,,,NON-PROJECT,,PROFESSIONAL-OTHER,2019.4104,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
405147,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Speech Therapist,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,SPEECH & LANGUAGE,GENERAL FUND,Speech Language Pathologst ,n/a,,,SPECIAL EDUCATION,,SPECIAL EDUCATION - ITINERANT,,PROFESSIONAL-INSTRUCTIONAL,1170.63,SPECIAL EDUCATION-S/L,,SPECIAL EDUCATION
405558,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,High School Allotment,"TEACHER, REGULAR",,,Salaries And Wages For Teachers And Other Professi,School ,0.89,Instruction,All Campus Payroll,TEACHER BACHELOR,48764.664386699995,High School Allotment,General Operating Fund,REGULAR PAY
405623,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,CUSTODIAL-SCHOOLS,GENERAL FUND,Custodial Helper - Day ,Regular,,,,,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",4634.6500000000015,CARE & UPKEEP OF BLDG SERVICES,,OPERATION AND MAINT OF PLANT
406383,School Administration,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,RENTAL OF EQUIPMENT AND VEHICLES,,MIDDLE SCHOOL PROGRAM 6-8,,,,,,,INSTRUCTION,,,6626.04,MIDDLE SCHOOL PROGRAM  6-8,General Fund,
406388,Security & Safety,O&M,Leadership & Management,Non-School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES                      ,,,,,,,School ,,INST & CURRICULUM DEV SVCS    ,,,29389.58,,GENERAL FUND                  ,MOBILE RADIO/CAMERA PROJECT   
407124,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Regular *,,Special Instruction,,,,Certificated Employees Salaries And Wages,,,Disadvantaged Youth *,,,-181120.48,,Title I - Disadvantaged Children/Targeted Assistance,TITLE I 
407185,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Elementary Spec Ed Para ,n/a,,,,,NON-PROJECT,,UNDESIGNATED,-22.95,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
407249,Other Non-Compensation,Instruction,School Reported,School,Unspecified,Non-Position,Contracted Services,Non PreK,PreK-12 Operating,Other Pupil Transportation Services,,Regular Instruction,,,,Pupil Transportation *,,,Other Regular,,,-1156.67,,Special Trust,PSP PROJECT/STARTING PT.
407761,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,Bus Driver Less than  Yr ,n/a,,,TRANSPORTATION,,EMPLOYEE RETIREMENT,,UNDESIGNATED,231.92,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
408084,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Substitute Professionals,,Operations,TEACHER SUBSTITUTE POOL,,Basic Educational Services - District Objective ,Salaries And Wages For Substitute Teachers,School ,,Instruction,All Campus Payroll,DEGREED SUBSTITUTE,93.727986111,Basic Educational Services,General Operating Fund,REGULAR PAY
408195,Legal,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Contracted Services,NO_LABEL,PreK-12 Operating,ATTORNEY FEES                 ,,,,,,,BOARD                         ,,BOARD                         ,,,493133.09,,GENERAL FUND                  ,BOARD                         
408350,"Finance, Budget, Purchasing & Distribution",Business Services,Leadership & Management,Non-School,Unspecified,(Exec) Director,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,FINANCIAL SERVICES/BUSINESS OPERATIONS,LOCAL,Director,,,,LOGISTICS,1.0,,,,132067.811966,,,
409182,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,0.00862068965517,CORE MATTERS,,PROFESSIONAL-INSTRUCTIONAL,220.035876936,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
409313,Recruitment,ISPD,Shared Services,Non-School,Unspecified,Substitute,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,HUMAN RESOURCES RECRUITMENT,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Short Term Sub ",n/a,,,HUMAN RESOURCES,,NEW TEACHER RECRUITMENT,,PROFESSIONAL-INSTRUCTIONAL,38.23672,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
409387,Curriculum Development,ISPD,School Reported,School,Unspecified,Non-Position,Other Non-Compensation,Non PreK,PreK-12 Operating,Other Objects,,Support Services - Instructional Staff,,,,Other Objects,,,Instruction And Curriculum Development Services *,,,854.94,,Special Trust,UNION MILES DEV
409522,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,General Assignment ,n/a,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,131.96,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
409604,Professional Development,ISPD,Leadership & Management,Non-School,Unspecified,Instructional Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,WORKSHOP PARTICIPANT          ,,,CURRICULUM RESOURCE TEACHER   ,,,,CHIEF ACADEMIC OFFICER        ,,INST STAFF TRAINING SVCS      ,USING DATA HUMAN CAPITAL DECIS,,105.69,,ARRA - RACE TO THE TOP        ,RACE TO THE TOP               
409605,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,GENERAL EDUCATION,LOCAL,"EDUCATIONAL AIDE,SPED,70H",,,,,1.0,,,,32406.745913700004,,,
409897,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Substitute Teachers Certified,,,,,Regular Instruction,,,0.0,,,SUBSTITUTE TEACHER,2904.71,Instruction - Regular,General Purpose School,
410022,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,SPECIAL EDUCATION INSTRUCTION,LOCAL,"EDUCATIONAL AIDE,SPED,70H",,,,,1.0,,,,33176.1268672,,,
410326,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"Teacher, Secondary (High) ",Turnaround,,,,1.01632885316,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,46284.951941,GENERAL HIGH SCHOOL EDUCATION,,REGULAR INSTRUCTION
410503,Human Resources,Business Services,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,EMPLOYEE BENEFITS,GENERAL FUND,"Manager, Benefits/WC ",n/a,,,EMPLOYEE BENEFITS,1.0000245518000002,EMPLOYEE BENEFITS,,ADMINISTRATOR,89416.3405734,STAFF SERVICES,,CENTRAL
410812,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Salaries And Wages For Teachers And Other Professi,,Title Iii Part A - Lep,"TEACHER, REGULAR",,,Extended Year,Summer School,,Instruction,Instruction And Curriculum,TEACHER MASTER,1353.01503786,Bilingual Education And Special Language Programs,Title Iii Part A - Lep,EXTENDED YEAR
411259,Instructional Materials & Supplies,Instruction,School Reported,School,PreK,Non-Position,Supplies/Materials,PreK,PreK-12 Operating,GENERAL SUPPLIES,,DISTRICT SPECIAL REVENUE FUNDS,(blank),Regular,,,,,TUITION BASED - ECE,,UNDESIGNATED,2530.61,EARLY CHILDHOOD,,REGULAR INSTRUCTION
411356,Social & Emotional,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Social Worker,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Social Worker ,n/a,,,SOCIAL WORK SERVICES,,NON-PROJECT,,UNDESIGNATED,-791.9100000000002,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
411687,Facilities & Maintenance,NO_LABEL,School Reported,School,NO_LABEL,Custodian,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Building Custodian I,,,,,0.5,,,BUILDING CUSTODIAN ,18171.255,Misc,General Fund,
411923,Security & Safety,O&M,Shared Services,Non-School,Unspecified,School Monitor/Security,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,SAFETY AND SECURITY,GENERAL FUND,Security Resource Spec ,n/a,,,SAFETY AND SECURITY,,SAFETY & SECURITY,,PROFESSIONAL-OTHER,797.6899999999998,SECURITY SERVICES,,OPERATION AND MAINT OF PLANT
411924,Governance,Leadership,Leadership & Management,Non-School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,NON-CAPITALIZED COMPUTER HARDW,,,,,,,SUPERINTENDENT                ,,ADMIN TECHNOLOGY SVCS         ,,,314.0800000000001,,GENERAL FUND                  ,COMPUTER REPAIR/REPL          
412017,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Other Professional and Technical Services,,Support Services - Instructional Staff,,,,Professional And Technical Services *,,,Instruction And Curriculum Development Services *,,,-3250.13,,Special Trust,ITEMS-VARIOUS GRANTS
412183,Parent & Community Relations,Pupil Services & Enrichment,School Reported,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,FEDERAL GDPG FUND,Community School Child Care ,Regular,,,,0.147720054446, CNTRY COMMTY LRNG - ,,PARAPROFESSIONAL,2984.5676719000003,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
412377,Professional Development,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COMPUTE,,PROGRAM IMPROVEMENT INSTR,,,,,,,IMPROVEMENT OF INSTR SERV,,,-47.18,Vocational  Grant-Program Improvement.,Vocational Education-Federal Funded,
412520,Professional Development,ISPD,Shared Services,Non-School,Unspecified,Vice Principal,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,WORKSHOP PARTICIPANT          ,,,ASSISTANT PRINCIPAL I-HIGH    ,,,,CHIEF ACADEMIC OFFICER        ,,INST STAFF TRAINING SVCS      ,USING DATA HUMAN CAPITAL DECIS,,105.16,,ARRA - RACE TO THE TOP        ,RACE TO THE TOP               
412909,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,"TEACHER, REGULAR",,Basic Educational Services - District Objective ,Salaries And Wages For Teachers And Other Professi,School ,0.89,Instruction,All Campus Payroll,TEACHER BACHELOR,51274.7574256,Basic Educational Services,General Operating Fund,REGULAR PAY
413016,Curriculum Development,ISPD,Leadership & Management,Non-School,Gifted,Sec/Clerk/Other Admin,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,GIFTED AND TALENTED,GENERAL FUND,Secretary II ,n/a,,,GIFTED AND TALENTED,,STATE - GIFTED AND TALENTED,,OFFICE/ADMINISTRATIVE SUPPORT,42.81,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
413040,Utilities,O&M,Leadership & Management,Non-School,Unspecified,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating,DEDICATED DATA LINE           ,,,,,,,VOCATIONAL EDUCATION          ,,OPERATION OF PLANT            ,NETWORK OPS                   ,,27.06,,GENERAL FUND                  ,
413254,"Finance, Budget, Purchasing & Distribution",Business Services,Leadership & Management,Non-School,Unspecified,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,SALARIES FOR OVERTIME,TUITION BILLING & AMD-FS,DISTRICT SPECIAL REVENUE FUNDS,Temporary Employee ,n/a,,,REGISTRAR,,REGISTRAR,,OFFICE/ADMINISTRATIVE SUPPORT,11.428,SUPPORT SERVICES - STUDENTS,,STUDENTS
413727,Library & Media,Instruction,School Reported,School,Unspecified,Librarian,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,OTHER CERTIFIED               ,,,LIBRARY/MEDIA SPECIALIST-MID  ,,,,School ,1.0,INSTRUCTIONAL MEDIA SERVICES  ,,,52048.721086699996,,GENERAL FUND                  ,
413735,Human Resources,Business Services,Shared Services,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,PERSONNEL SERVICES,GENERAL FUND,Human Resources Generalist ,n/a,,,HUMAN RESOURCES,,NON-PROJECT,,PROFESSIONAL-OTHER,3016.40744,STAFF SERVICES,,CENTRAL
414086,Enrichment,Pupil Services & Enrichment,Shared Services,Non-School,Unspecified,Other,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Operations,"TRANSPORTATION, AIDE,REGULAR",,,Extra Duty Pay/Overtime For Support Personnel,Unallocated,,Extracurricular Activities,Transportation Department,BUS DRIVER AIDE,10.68,Undistributed,General Operating Fund,WAITING TIME
416296,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,TA,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,General Assignment ,n/a,,,ES TEAM ,,EMPLOYEE RETIREMENT,,UNDESIGNATED,67.94,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
416357,Professional Development,ISPD,School Reported,School,Unspecified,NO_LABEL,Travel & Conferences,Non PreK,PreK-12 Operating,Travel And Subsistence - Employee Only,,,,,Undistributed,Travel And Subsistence - Employee Only,School ,,Curriculum Development And Instructional Staff Dev,,,199.88,Undistributed,General Operating Fund,
416749,Extended Time & Tutoring,Instruction,School Reported,School,Poverty,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,"""Title  Part A Improving Basic Programs""","TEACHER, REGULAR",,,Extended Day,School ,,Instruction,Instruction And Curriculum,TEACHER BACHELOR,105.491491127,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",EXTENDED DAYS
416873,School Administration,Leadership,School Reported,School,Poverty,Coordinator/Manager,Base Salary/Compensation,Non PreK,PreK-12 Operating,Regular *,ADM/PROF,Support Services--Pupils,BARRIER BREAKER,,,,CHIEF ACADEMIC OFFICER,0.125,Direction of Support Services - Pupils *,,,9531.10109801,,Title  School Improvement Stimulus G,"SCHOOL IMPROVEMENT,G"
416988,Enrichment,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,AFTERSCHOOL PROGRAMS,"SUMMER ED, ARTS & SPORTS - SEAS",Aide (Afterschool),,,,OFC COM & ED PROG-AFTER SCHOOL AIDES,0.025,,,,780.39,,,
